"Job No","Job Name","Project Class","Geographic Area","Manager","Customer","Tax Groups","Code Method","County","Cost Basis","CRT","Tax Exempt","Job Status","Tax Auth"
"2013-008","Grayson Co. TX 0047-18-068","Texas","DFW Area","","","Texas","Budget","","Unit Cost","No","No","Closed",""
"2014-008","0902-48-838 Tarrant County- TX","Texas","DFW Area","","","Texas","Budget","","Unit Cost","Yes","No","Closed",""
"2014-009","0081-01-046 Tarrant County TX","Texas","DFW Area","","","Texas","Budget","","Unit Cost","Yes","No","Closed",""
"2015-009","Dallas Loop 12","Texas","DFW Area","Nishant Gupta","","Texas","Budget","","Unit Cost","Yes","No","Closed",""
"2015-013","US 82  Grayson County","Texas","DFW Area","Hector Bonilla","TX Depart of Transportation","Texas","Budget","","Unit Cost","Yes","Yes","Closed",""
"2016-006","City of Dallas Sidewalk Replac","Texas","DFW Area","Nishant Gupta","City of Dallas","Texas","Budget","","Unit Cost","Yes","Yes","Closed",""
"2016-007","City of Ft Worth Pavement Repl","Texas","DFW Area","Ammar Elhamad","City of Fort Worth","Texas","Budget","","Unit Cost","Yes","Yes","Closed",""
"2016-008","Hill County -I35W MSE Wall Rep","Texas","DFW Area","Ammar Elhamad","","Texas","Budget","","Unit Cost","Yes","Yes","Closed",""
"2016-014","SH 310 Guardrail Dallas County","Texas","DFW Area","Hector Bonilla","","Texas","Budget","","Unit Cost","Yes","Yes","Closed",""
"2016-015","US 75 at FM 120 Grayson County","Texas","DFW Area","Hector Bonilla","","Texas","Budget","","Unit Cost","Yes","Yes","Closed",""
"2016-017","IH 35W Bridge- South Tarrant","Texas","DFW Area","Nishant Gupta","TX Depart of Transportation","Texas","Budget","","Unit Cost","Yes","Yes","Closed",""
"2017-001","Spring Valley Rd Improvements","Texas","DFW Area","Ammar Elhamad","","Texas","Budget","","Unit Cost","Yes","Yes","Closed",""
"2017-002","IH 820 Improvements","Texas","DFW Area","James Gabe","TX Depart of Transportation","","Budget","","Unit Cost","Yes","Yes","Closed",""
"2017-009","Primrose Lane Pavement","Texas","DFW Area","James Gabe","","","Budget","","Unit Cost","No","No","Closed",""
"2017-010","Parker County 0902-38-124","Texas","DFW Area","James Gabe","TX Depart of Transportation","Texas","Budget","","Unit Cost","Yes","No","Closed",""
"2017-011","Dallas County FM 1382 HWY","Texas","DFW Area","Nishant Gupta","","","Budget","","Unit Cost","Yes","No","Closed",""
"2017-012","Bonnie Brae- City of Denton","Texas","DFW Area","Nishant Gupta","City of Denton","Texas","Budget","","Unit Cost","Yes","No","Closed",""
"2017-014","NRH Rufe Snow Intersection","Texas","DFW Area","James Gabe","","Texas","Budget","","Unit Cost","Yes","No","Closed",""
"2017-015","NTTA PGBT 161 Wall Repair","Texas","DFW Area","Ramesh Bobba","NTTA","Texas","Budget","","Unit Cost","Yes","No","Closed",""
"2017-022","Denton Drive","Texas","DFW Area","Ammar Elhamad","","Texas","Budget","","Unit Cost","Yes","No","Closed",""
"2017-024","SH 183 Tarrant","Texas","DFW Area","Eric Romo","TX Depart of Transportation","Texas","Budget","","Unit Cost","Yes","No","Closed",""
"2017-033","Viridian Signature Bridge","Texas","DFW Area","Ammar Elhamad","Viridian Holding","Texas","Budget","","Unit Cost","Yes","Yes","Closed",""
"2018-014","Gaston and Hall","Texas","DFW Area","Nishant Gupta","City of Dallas","Texas","Budget","","Unit Cost","Yes","Yes","Closed",""
"2018-016","Preston and Livingston Road","Texas","DFW Area","Nishant Gupta","TOWN OF HIGHLAND PARK","Texas","Budget","","Unit Cost","Yes","Yes","Closed",""
"2018-018","Keller Wall","Texas","DFW Area","Hector Bonilla","City of Keller","Texas","Budget","","Unit Cost","Yes","No","Closed",""
"2018-021","IH 345 Dallas Co- TX","Texas","DFW Area","Nishant Gupta","TX Depart of Transportation","Texas","Budget","","Unit Cost","Yes","No","Closed",""
"2018-022","VA SW Tarrant Count-  TX","Texas","DFW Area","Hector Bonilla","TX Depart of Transportation","Texas","Budget","","Unit Cost","Yes","No","Closed",""
"2018-023","NTTA Walls Micro Pile","Texas","DFW Area","Ramesh Bobba","NTTA","Texas","Budget","","Unit Cost","Yes","No","Closed",""
"2018-025","NTTA Ramp Rehabi","Texas","DFW Area","James Gabe","NTTA","","Budget","","Unit Cost","Yes","No","Closed",""
"2018-034","Shiloh RD - City of Garland","Texas","DFW Area","Nishant Gupta","City of Garland","Texas","Budget","","Unit Cost","No","Yes","Closed",""
"2018-400","Direct Support","Texas","DFW Area","Rahul Patil","","","Budget","","Unit Cost","No","No","Closed",""
"2018-998","Dallas T&M","Texas","DFW Area","","","","Budget","","Unit Cost","No","No","Closed",""
"2019-001","SH 78 Dallas County","Texas","DFW Area","Tyler Terashima","TX Depart of Transportation","Texas","Budget","","Unit Cost","Yes","No","Closed",""
"2019-003","SL 12 Bridge Dallas County","Texas","DFW Area","Nishant Gupta","TX Depart of Transportation","Texas","Budget","","Unit Cost","Yes","No","Closed",""
"2019-016","Preston Rd Phase B","Texas","DFW Area","Nishant Gupta","TOWN OF HIGHLAND PARK","Texas","Budget","","Unit Cost","No","No","Closed",""
"2019-021","IH 345 Frontage Road","Texas","DFW Area","Ammar Elhamad","TX Depart of Transportation","Texas","Budget","","Unit Cost","Yes","Yes","Closed",""
"2019-035","Clear Fork Emergency Bridge","Texas","DFW Area","Sam Piland","City of Benbrook","Texas","Budget","","Unit Cost","Yes","No","Closed",""
"2019-043","Camp Wisdom Road","Texas","DFW Area","Sam Piland","DALLAS COUNTY PUBLIC WORKS","Texas","Budget","","Unit Cost","Yes","No","Closed",""
"2019-044","E. Long Avenue","Texas","DFW Area","Mike Rieder","City of Fort Worth","Texas","Budget","","Unit Cost","Yes","No","Active",""
"2020-009","BISD Ped. Bridge Pkg","Texas","DFW Area","Sangramsingh Patil","Birdville ISD","Texas","Budget","","Unit Cost","Yes","No","Closed",""
"2020-019","DFW Airport Rehab Storm Sewer","Texas","DFW Area","Sangramsingh Patil","DFW Airport","Texas","Budget","","Unit Cost","Yes","No","Closed",""
"2020-020","I 20 Road Widening","Texas","DFW Area","Sam Piland","TX Depart of Transportation","Texas","Budget","","Unit Cost","Yes","No","Inactive",""
"2020-027","DENTON CO US 377","Texas","DFW Area","NAGESH KUMAR","TX Depart of Transportation","Texas","Budget","","Unit Cost","Yes","No","Inactive",""
"2020-049","BU 287 P Sidewalk Improvement","Texas","DFW Area","James Gabe","TX Depart of Transportation","Texas","Budget","","Unit Cost","Yes","No","Closed",""
"2020-998","TX T&M","Texas","DFW Area","","","","Budget","","Unit Cost","Yes","No","Closed",""
"2021-008","TXDOT Roadway Cleaning","Texas","DFW Area","Rahul Patil","TX Depart of Transportation","Texas","Budget","","Unit Cost","Yes","No","Closed",""
"2021-010","Dallas US 75 Pedestrian Bridge","Texas","DFW Area","Tynor Larson","TX Depart of Transportation","Texas","Budget","","Unit Cost","Yes","Yes","Closed",""
"2021-014","Rehab Landside Pvmt Phase3A&4B","Texas","DFW Area","Ramesh Bobba","DFW Airport","Texas","Budget","","Unit Cost","Yes","Yes","Inactive",""
"2021-016","Fort Worth Bridge Rehab","Texas","DFW Area","Ammar Elhamad","City of Fort Worth","Texas","Budget","","Unit Cost","Yes","No","Closed",""
"2021-017","Plano Collin Creek Culvert Imp","Texas","DFW Area","Adam Goode","City of Plano","Texas","Budget","","Unit Cost","Yes","No","Active",""
"2021-036","Bridge Rehab Contract 1","Texas","DFW Area","Ammar Elhamad","City of Fort Worth","Texas","Budget","","Unit Cost","Yes","No","Closed",""
"2021-038","SM-FM 1709 Traffic Signal","Texas","DFW Area","James Gabe","Select Maintenance","Texas","Budget","","Unit Cost","Yes","No","Closed",""
"2021-059","Dallas Co FM 1382 Sidepath","Texas","DFW Area","Ammar Elhamad","DALLAS COUNTY PUBLIC WORKS","Texas","Budget","","Unit Cost","Yes","No","Closed",""
"2021-068","2021 Sidewalk & Barrier Free R","Texas","DFW Area","Tynor Larson","City of Dallas","Texas","Budget","","Unit Cost","Yes","No","Inactive",""
"2021-071","DFW Airport Slope Remediation","Texas","DFW Area","Ramesh Bobba","DFW Airport","Texas","Budget","","Unit Cost","Yes","No","Inactive",""
"2021-072","DFW Soil Slope Remediation","Texas","DFW Area","Ramesh Bobba","DFW Airport","Texas","Budget","","Unit Cost","Yes","No","Active",""
"2021-073","SM-NTTA EB Alma Exit Shoulder","Texas","DFW Area","James Gabe","Select Maintenance","Texas","Budget","","Unit Cost","Yes","No","Closed",""
"2022-003","Rehab Runway 17L/35R Storm Dra","Texas","DFW Area","Ramesh Bobba","DFW Airport","Texas","Budget","","Unit Cost","Yes","No","Active",""
"2022-008","Gregg CS Bridge Replacement","Texas","DFW Area","NAGESH KUMAR","TX Depart of Transportation","Texas","Budget","","Unit Cost","Yes","No","Active",""
"2022-012","NTTA PGBT Spur 303 Drain MSE","Texas","DFW Area","Tynor Larson","NTTA","Texas","Budget","","Unit Cost","Yes","No","Closed",""
"2022-023","Dallas Riverfront & Cadiz Brid","Texas","DFW Area","Adam Goode","City of Dallas","Texas","Budget","","Unit Cost","Yes","No","Active",""
"2022-033","Collin Mckinney Parkway Constr","Texas","DFW Area","Adam Goode","City of McKinney","Texas","Budget","","Unit Cost","Yes","No","Active",""
"2022-041","SH 183 Embankment Stabilizatio","Texas","DFW Area","Ammar Elhamad","TX Depart of Transportation","Texas","Budget","","Unit Cost","Yes","Yes","Inactive",""
"2022-042","SL 12 Overlay & Concrete Repai","Texas","DFW Area","SAM ABUNEMEH","TX Depart of Transportation","Texas","Budget","","Unit Cost","Yes","Yes","Inactive",""
"2022-044","Plano Erosion Control Improvem","Texas","DFW Area","Adam Goode","City of Plano","Texas","Budget","","Unit Cost","Yes","Yes","Closed",""
"2023-004","Rehab Lanside Storm Phase 2","Texas","DFW Area","Ramesh Bobba","DFW Airport","Texas","Budget","","Unit Cost","Yes","No","Active",""
"2023-006","Tarrant SH183 Bridge","Texas","DFW Area","Mike Rieder","TX Depart of Transportation","Texas","Budget","","Unit Cost","Yes","No","Active",""
"2023-014","Tarrant IH 20 US 81 Bridge Dec","Texas","DFW Area","Jared Ruhrup","TX Depart of Transportation","Texas","Budget","","Unit Cost","Yes","Yes","Active",""
"2023-027","NTTA SRT Rail & Shoulder Rehab","Texas","DFW Area","Adam Goode","NTTA","Texas","Budget","","Unit Cost","Yes","No","Inactive",""
