"Job No","Job Name","Project Class","Geographic Area","Manager","Customer","Tax Groups","Code Method","County","Cost Basis","CRT","Tax Exempt","Job Status","Tax Auth"
"2017-003","Swing Bridge Orange County","Texas","Houston Area","Luis Morales","TX Depart of Transportation","Texas","Budget","","Unit Cost","Yes","No","Closed",""
"2017-029","Harris Co- Buffalo Bayou Bikew","Texas","Houston Area","Luis Morales","TX Depart of Transportation","Texas","Budget","","Unit Cost","Yes","No","Closed",""
"2017-030","SL8 Sidewalk","Texas","Houston Area","James Gabe","","","Budget","","Unit Cost","Yes","No","Closed",""
"2018-003","SH 288","Texas","Houston Area","James Gabe","Almeda-Genoa Constructors","Texas","Budget","","Unit Cost","Yes","Yes","Closed",""
"2018-013","Harbor Bridge Conc Railing","Texas","Houston Area","James Gabe","Flatiron / Dragados JV","Texas","Budget","","Unit Cost","Yes","No","Closed",""
"2018-017","IH 45 Harris Co - TX","Texas","Houston Area","James Gabe","TX Depart of Transportation","Texas","Budget","","Unit Cost","Yes","No","Closed",""
"2018-020","SH 6 Fort Bend- TX","Texas","Houston Area","Luis Morales","TX Depart of Transportation","Texas","Budget","","Unit Cost","Yes","Yes","Closed",""
"2019-002","HWY 90 Bridge Orange County","Texas","Houston Area","Luis Morales","TX Depart of Transportation","Texas","Budget","","Unit Cost","Yes","No","Closed",""
"2019-020","SH 146 Bearing Replacement","Texas","Houston Area","Luis Morales","TX Depart of Transportation","Texas","Budget","","Unit Cost","Yes","No","Closed",""
"2019-022","IH 69 Bearing Replacement","Texas","Houston Area","Luis Morales","TX Depart of Transportation","Texas","Budget","","Unit Cost","Yes","No","Closed",""
"2019-031","Calhoun Road at Brays Bayou","Texas","Houston Area","Luis Morales","TX Depart of Transportation","Texas","Budget","","Unit Cost","Yes","No","Inactive",""
"2019-038","I-610 Houston Bridge Repair","Texas","Houston Area","James Gabe","TX Depart of Transportation","Texas","Budget","","Unit Cost","Yes","No","Closed",""
"2019-046","SH 146 REPLACEMENT OF EXISTING","Texas","Houston Area","Luis Morales","TX Depart of Transportation","Texas","Budget","","Unit Cost","Yes","No","Closed",""
