Name	Job Number	Assets On-site	Category	 
2019-044 E. Long Avenue	2019-044	0	Road	Edit
2021-017 Plano Collin Creek Culvert Imp	2021-017	6	Culvert	Edit
2021-072 (1) DFW Slope Remediation 2	2021-072 (1)	0	Slope Stabilization	Edit
2021-072 (14) DFW Slope Remediation 2	2021-072 (14)	0	Slope Stabilization	Edit
2021-072 (2) DFW Slope Remediation 2	2021-072 (2)	0	Slope Stabilization	Edit
2021-072 (3, 4, 10, 11) DFW Slope Remediation 2	2021-072 (3, 4, 10, 11)	0	Slope Stabilization	Edit
2021-072 (6, 12, 13) DFW Slope Remediation 2	2021-072 (6, 12, 13)	0	Slope Stabilization	Edit
2021-072 (9) DFW Slope Remediation 2	2021-072 (9)	0	Slope Stabilization	Edit
2022-003 (YARD)	2022-003 (YARD)	1	Office	Edit
2022-003 DFW Rehab Runway 17L35R Storm Drain Pipe	2022-003	0	Pipe	Edit
2022-008 Gregg CS Bridge Replacement	2022-008	6	Bridge	Edit
2022-023 Riverfront & Cadiz Bridge Improvement	2022-023	10	Bridge	Edit
2022-033 CoMckinney Collin Mckinney Pkwy	2022-033	0	Bridge	Edit
2022-040 (1) Hardin US 96 Bridge Maintenance	2022-040 (1)	0	Bridge	Edit
2022-040 (3) Hardin US 96 Bridge Maintenance	2022-040 (3)	0	Bridge	Edit
2022-040 (4) Hardin US 96 Bridge Maintenance	2022-040 (4)	0	Bridge	Edit
2022-042 (3) SL 12 Overlay & Maintenance	2022-042 (3)	0	Road	Edit
2023-004 (1) DFW Airport Landside Storm PH2	2023-004 (1)	0	Slope Stabilization	Edit
2023-004 (2) DFW Airport Landside Storm PH2	2023-004 (2)	0	Slope Stabilization	Edit
2023-004 (3) DFW Airport Landside Storm PH2	2023-004 (3)	0	Slope Stabilization	Edit
2023-004 (4) DFW Airport Landside Storm PH2	2023-004 (4)	0	Slope Stabilization	Edit
2023-006 (OFFICE) Tarrant SH 183 Bridge	2023-006 (OFFICE)	15	Office	Edit
2023-006 Tarrant SH 183 Bridge Replacement	2023-006	4	Bridge	Edit
2023-007 BI 20 (OFFICE)	2023-007 (OFFICE)	0	Office	Edit
2023-007 Ector BI 20E Rehab Roadway	2023-007	21	Road	Edit
2023-014 (1) TARRANT IH 20 US 81 BR	2023-014 (1)	2	Bridge	Edit
2023-014 (2) TARRANT IH 20 US 81 BR	2023-014 (2)	0	Bridge	Edit
2023-014 (3) TARRANT IH 20 US 81 BR	2023-014 (3)	0	Bridge	Edit
2023-019 (1) MARTIN SH 176 ROADWAY IMPROVEMENTS	2023-019 (1)	2	Road	Edit
2023-019 (2) MARTIN SH 176 ROADWAY IMPROVEMENTS	2023-019 (2)	0	Road	Edit
2023-026 MATAGORDA FM 521 BR	2023-026	0	Bridge	Edit
