asset_id,job_site,arrival_time,departure_time,total_hours,job_code
TRK-1001,North Dallas,2025-05-16T06:45:00,2025-05-16T17:15:00,10.5,JOB-2023-001
TRK-1002,West Plano,2025-05-16T07:20:00,2025-05-16T16:45:00,9.4,JOB-2023-002
TRK-1003,Downtown,2025-05-16T07:05:00,2025-05-16T17:05:00,10.0,JOB-2023-003
TRK-1004,Richardson,2025-05-16T07:30:00,2025-05-16T16:30:00,9.0,JOB-2023-004
TRK-1005,North Dallas,2025-05-16T06:55:00,2025-05-16T17:10:00,10.3,JOB-2023-001
TRK-1006,West Plano,2025-05-16T07:15:00,2025-05-16T16:55:00,9.7,JOB-2023-002
TRK-1007,Downtown,2025-05-16T07:25:00,2025-05-16T16:25:00,9.0,JOB-2023-003
TRK-1008,Richardson,2025-05-16T06:50:00,2025-05-16T17:00:00,10.2,JOB-2023-004
TRK-1009,North Dallas,2025-05-16T07:10:00,2025-05-16T16:40:00,9.5,JOB-2023-001
TRK-1010,West Plano,2025-05-16T07:35:00,2025-05-16T16:15:00,8.7,JOB-2023-002
TRK-1011,Downtown,2025-05-16T06:40:00,2025-05-16T17:20:00,10.7,JOB-2023-003
TRK-1012,Richardson,2025-05-16T07:00:00,2025-05-16T17:05:00,10.1,JOB-2023-004
TRK-1013,North Dallas,2025-05-16T07:40:00,2025-05-16T16:10:00,8.5,JOB-2023-001
TRK-1014,West Plano,2025-05-16T07:05:00,2025-05-16T16:50:00,9.8,JOB-2023-002
TRK-1015,Downtown,2025-05-16T06:55:00,2025-05-16T17:15:00,10.3,JOB-2023-003
