AssetID,Category,Location,WeeklyHours,UtilizationLevel,Status,RentalSavingsPotential,LastUpdated
BRO-05,Sweeper,2022-023 Riverfront & Cadiz Bridge Improvement,25,LOW,LOW USE - Available for Reallocation,1500,2025-05-29 05:13:25
ML-03,Man Lift,2023-032 SH 345 BRIDGE REHABILITATION,25,LOW,LOW USE - Available for Reallocation,1500,2025-05-29 05:13:25
R-16,Roller,DFW Yard,5,IDLE,IDLE - Consider Deployment,1500,2025-05-29 05:13:25
EX-34,Excavator,DFW Yard,5,IDLE,IDLE - Consider Deployment,2250,2025-05-29 05:13:25
EX-38,Excavator,DFW Yard,5,IDLE,IDLE - Consider Deployment,2250,2025-05-29 05:13:25
SS-11 (shop use),Skid Steer,DFW Yard,5,IDLE,IDLE - Consider Deployment,1500,2025-05-29 05:13:25
D-13,Dozer,2022-023 Riverfront & Cadiz Bridge Improvement,25,LOW,LOW USE - Available for Reallocation,2750,2025-05-29 05:13:25
S-07,Heavy Truck,DFW Yard,5,IDLE,IDLE - Consider Deployment,1500,2025-05-29 05:13:25
SS-17,Skid Steer,2024-023 TARRANT RIVERSIDE BRIDGE REHAB,25,LOW,LOW USE - Available for Reallocation,1500,2025-05-29 05:13:25
WT-07,Heavy Truck,2024-030 Matagorda SH 35 Bridge Replacement,25,LOW,LOW USE - Available for Reallocation,1500,2025-05-29 05:13:25
RTC-02,Crane,2023-032 SH 345 BRIDGE REHABILITATION,25,LOW,LOW USE - Available for Reallocation,4000,2025-05-29 05:13:25
WL-02,Wheel Loader,DFW Yard,5,IDLE,IDLE - Consider Deployment,1500,2025-05-29 05:13:25
EX-31,Excavator,2024-004 CoD Sidewalks 2024 (#23-BFR1),25,LOW,LOW USE - Available for Reallocation,2250,2025-05-29 05:13:25
WL-03,Wheel Loader,DFW Yard,5,IDLE,IDLE - Consider Deployment,1500,2025-05-29 05:13:25
RTC-04,Crane,DFW Yard,5,IDLE,IDLE - Consider Deployment,4000,2025-05-29 05:13:25
TH-02,Telehandler,HOU YARD/SHOP,5,IDLE,IDLE - Consider Deployment,1500,2025-05-29 05:13:25
D-12,Dozer,DFW Yard,5,IDLE,IDLE - Consider Deployment,2750,2025-05-29 05:13:25
DT-08 (WELDING TRUCK),Medium Truck,2023-032 SH 345 BRIDGE REHABILITATION,25,LOW,LOW USE - Available for Reallocation,1500,2025-05-29 05:13:25
EX-40,Excavator,2023-032 SH 345 BRIDGE REHABILITATION,25,LOW,LOW USE - Available for Reallocation,2250,2025-05-29 05:13:25
R-19,Roller,2022-023 Riverfront & Cadiz Bridge Improvement,25,LOW,LOW USE - Available for Reallocation,1500,2025-05-29 05:13:25
R-09,Roller,2023-007 Ector BI 20E Rehab Roadway,25,LOW,LOW USE - Available for Reallocation,1500,2025-05-29 05:13:25
G-02,Grader,24-04 DALLAS SH 310 INTERSECTION IMPROV,25,LOW,LOW USE - Available for Reallocation,1500,2025-05-29 05:13:25
R-14,Roller,DFW Yard,5,IDLE,IDLE - Consider Deployment,1500,2025-05-29 05:13:25
BH-15,Backhoe,HOU YARD/SHOP,5,IDLE,IDLE - Consider Deployment,1500,2025-05-29 05:13:25
DT-07,Medium Truck,DFW Yard,5,IDLE,IDLE - Consider Deployment,1500,2025-05-29 05:13:25
RTC-03,Crane,DFW Yard,5,IDLE,IDLE - Consider Deployment,4000,2025-05-29 05:13:25
BH-17,Backhoe,2024-004 CoD Sidewalks 2024 (#17),25,LOW,LOW USE - Available for Reallocation,1500,2025-05-29 05:13:25
BRO-06,Sweeper,HOU YARD/SHOP,5,IDLE,IDLE - Consider Deployment,1500,2025-05-29 05:13:25
EX-41,Excavator," E Jefferson Blvd, Dallas, TX 75203",25,LOW,LOW USE - Available for Reallocation,2250,2025-05-29 05:13:25
BRO-07,Sweeper,DFW Yard,5,IDLE,IDLE - Consider Deployment,1500,2025-05-29 05:13:25
SS-22,Skid Steer,2023-007 Ector BI 20E Rehab Roadway,25,LOW,LOW USE - Available for Reallocation,1500,2025-05-29 05:13:25
EX-15,Excavator,2024-030 Matagorda SH 35 Bridge Replacement,25,LOW,LOW USE - Available for Reallocation,2250,2025-05-29 05:13:25
R-13 ,Roller,2024-030 Matagorda SH 35 Bridge Replacement,25,LOW,LOW USE - Available for Reallocation,1500,2025-05-29 05:13:25
EX-30,Excavator,2024-019 (15) Tarrant VA Bridge Rehab,25,LOW,LOW USE - Available for Reallocation,2250,2025-05-29 05:13:25
R-15,Roller,2023-007 Ector BI 20E Rehab Roadway,25,LOW,LOW USE - Available for Reallocation,1500,2025-05-29 05:13:25
MT-07 (TMA),Truck Mounted Attenuator (TMA),2024-024 (1) TARRANT CS INTERSECTION IMPROV,25,LOW,LOW USE - Available for Reallocation,1500,2025-05-29 05:13:25
BH-16,Backhoe,2022-023 Riverfront & Cadiz Bridge Improvement,25,LOW,LOW USE - Available for Reallocation,1500,2025-05-29 05:13:25
SS-24,Skid Steer,2023-032 SH 345 BRIDGE REHABILITATION,25,LOW,LOW USE - Available for Reallocation,1500,2025-05-29 05:13:25
CM-01,Heavy Truck,DFW Yard,5,IDLE,IDLE - Consider Deployment,1500,2025-05-29 05:13:25
BM-01 ,Bridge Machine,DFW Yard,5,IDLE,IDLE - Consider Deployment,1500,2025-05-29 05:13:25
SFB-03,Truck Mounted Attenuator (TMA),2023-032 SH 345 BRIDGE REHABILITATION,25,LOW,LOW USE - Available for Reallocation,1500,2025-05-29 05:13:25
EX-42,Excavator,2023-006 Tarrant SH 183 Bridge Replacement,25,LOW,LOW USE - Available for Reallocation,2250,2025-05-29 05:13:25
EX-51,Excavator,Beaumont RAG Property,25,LOW,LOW USE - Available for Reallocation,2250,2025-05-29 05:13:25
EX-01S,Excavator,2024-004 City of Dallas Sidewalk 2024 (YARD),5,IDLE,IDLE - Consider Deployment,2250,2025-05-29 05:13:25
BRO-02,Sweeper,2023-007 Ector BI 20E Rehab Roadway,25,LOW,LOW USE - Available for Reallocation,1500,2025-05-29 05:13:25
CFM-06,Concrete Finish,2023-032 (YARD) SH 345 BRIDGE REHABILITATION,5,IDLE,IDLE - Consider Deployment,1500,2025-05-29 05:13:25
EX-52,Excavator,2021-017 Plano Collin Creek Culvert Imp,25,LOW,LOW USE - Available for Reallocation,2250,2025-05-29 05:13:25
EX-55,Excavator,2024-030 Matagorda SH 35 Bridge Replacement,25,LOW,LOW USE - Available for Reallocation,2250,2025-05-29 05:13:25
D-16,Dozer,2024-030 Matagorda SH 35 Bridge Replacement,25,LOW,LOW USE - Available for Reallocation,2750,2025-05-29 05:13:25
SFB-04 (POLY SPRAYER),Heavy Truck,DFW Yard,5,IDLE,IDLE - Consider Deployment,1500,2025-05-29 05:13:25
SS-16,Skid Steer,2024-012 Dal IH635 U-Turn Bridge,25,LOW,LOW USE - Available for Reallocation,1500,2025-05-29 05:13:25
WT-05,Heavy Truck,2023-032 SH 345 BRIDGE REHABILITATION,25,LOW,LOW USE - Available for Reallocation,1500,2025-05-29 05:13:25
SS-23,Skid Steer,2024-004 CoD Sidewalks 2024 (#27 KEENELAND PKWY),25,LOW,LOW USE - Available for Reallocation,1500,2025-05-29 05:13:25
TH-04 (shop use),Telehandler,DFW Yard,5,IDLE,IDLE - Consider Deployment,1500,2025-05-29 05:13:25
WT-09,Heavy Truck,2023-032 SH 345 BRIDGE REHABILITATION,25,LOW,LOW USE - Available for Reallocation,1500,2025-05-29 05:13:25
BRO-08,Sweeper,2023-006 (OFFICE) Tarrant SH 183 Bridge,25,LOW,LOW USE - Available for Reallocation,1500,2025-05-29 05:13:25
CFM-05,Concrete Finish,,25,LOW,LOW USE - Available for Reallocation,1500,2025-05-29 05:13:25
EX-54,Excavator,2023-007 Ector BI 20E Rehab Roadway,25,LOW,LOW USE - Available for Reallocation,2250,2025-05-29 05:13:25
BH-24,Backhoe,DFW Yard,5,IDLE,IDLE - Consider Deployment,1500,2025-05-29 05:13:25
BT-02S,Heavy Truck,2024-004 City of Dallas Sidewalk 2024 (YARD),5,IDLE,IDLE - Consider Deployment,1500,2025-05-29 05:13:25
EX-65,Excavator,DFW Yard,5,IDLE,IDLE - Consider Deployment,2250,2025-05-29 05:13:25
WT-08,Heavy Truck,2023-032 SH 345 BRIDGE REHABILITATION,25,LOW,LOW USE - Available for Reallocation,1500,2025-05-29 05:13:25
CM-02,Heavy Truck,DFW Yard,5,IDLE,IDLE - Consider Deployment,1500,2025-05-29 05:13:25
CFM-01,Concrete Finish,2023-032 (YARD) SH 345 BRIDGE REHABILITATION,5,IDLE,IDLE - Consider Deployment,1500,2025-05-29 05:13:25
D-03,Dozer,WTX YARD PIT,5,IDLE,IDLE - Consider Deployment,2750,2025-05-29 05:13:25
SFB-08,Truck Mounted Attenuator (TMA),2023-007 Ector BI 20E Rehab Roadway,25,LOW,LOW USE - Available for Reallocation,1500,2025-05-29 05:13:25
BH-22,Backhoe,2023-032 SH 345 BRIDGE REHABILITATION,25,LOW,LOW USE - Available for Reallocation,1500,2025-05-29 05:13:25
BRO-09,Sweeper,HOU YARD/SHOP,5,IDLE,IDLE - Consider Deployment,1500,2025-05-29 05:13:25
D-17,Dozer,HOU YARD/SHOP,5,IDLE,IDLE - Consider Deployment,2750,2025-05-29 05:13:25
DD-01S,Heavy Truck,2024-004 City of Dallas Sidewalk 2024 (YARD),5,IDLE,IDLE - Consider Deployment,1500,2025-05-29 05:13:25
EX-04,Excavator,,25,LOW,LOW USE - Available for Reallocation,2250,2025-05-29 05:13:25
EX-53,Excavator,2024-023 TARRANT RIVERSIDE BRIDGE REHAB,25,LOW,LOW USE - Available for Reallocation,2250,2025-05-29 05:13:25
MT-09 (LORENZO APARICIO),Medium Truck,2023-032 SH 345 BRIDGE REHABILITATION,25,LOW,LOW USE - Available for Reallocation,1500,2025-05-29 05:13:25
BRO-03,Sweeper,2023-032 SH 345 BRIDGE REHABILITATION,25,LOW,LOW USE - Available for Reallocation,1500,2025-05-29 05:13:25
BH-23,Backhoe,2022-008 Gregg CS Bridge Replacement,25,LOW,LOW USE - Available for Reallocation,1500,2025-05-29 05:13:25
BRO-10,Sweeper,2024-012 Dal IH635 U-Turn Bridge,25,LOW,LOW USE - Available for Reallocation,1500,2025-05-29 05:13:25
CFM-11,Concrete Finish,2023-032 SH 345 BRIDGE REHABILITATION,25,LOW,LOW USE - Available for Reallocation,1500,2025-05-29 05:13:25
CFM-13,Concrete Finish,DFW Yard,5,IDLE,IDLE - Consider Deployment,1500,2025-05-29 05:13:25
CFM-14,Concrete Finish,DFW Yard,5,IDLE,IDLE - Consider Deployment,1500,2025-05-29 05:13:25
EX-59,Excavator,2024-030 Matagorda SH 35 Bridge Replacement,25,LOW,LOW USE - Available for Reallocation,2250,2025-05-29 05:13:25
EX-62,Excavator,2024-004 CoD Sidewalks 2024 (#17),25,LOW,LOW USE - Available for Reallocation,2250,2025-05-29 05:13:25
G-03,Grader,DFW Yard,5,IDLE,IDLE - Consider Deployment,1500,2025-05-29 05:13:25
G-04,Grader,2023-007 Ector BI 20E Rehab Roadway,25,LOW,LOW USE - Available for Reallocation,1500,2025-05-29 05:13:25
MT-11 (OPEN),Medium Truck,DFW Yard,5,IDLE,IDLE - Consider Deployment,1500,2025-05-29 05:13:25
R-21,Roller,DFW Yard,5,IDLE,IDLE - Consider Deployment,1500,2025-05-29 05:13:25
SFB-07,Truck Mounted Attenuator (TMA),HOU YARD/SHOP,5,IDLE,IDLE - Consider Deployment,1500,2025-05-29 05:13:25
R-20,Roller,DFW Yard,5,IDLE,IDLE - Consider Deployment,1500,2025-05-29 05:13:25
R-05,Roller,24-04 DALLAS SH 310 INTERSECTION IMPROV,25,LOW,LOW USE - Available for Reallocation,1500,2025-05-29 05:13:25
SFB-02S,Truck Mounted Attenuator (TMA),HOU YARD/SHOP,5,IDLE,IDLE - Consider Deployment,1500,2025-05-29 05:13:25
WL-04,Wheel Loader,DFW Yard,5,IDLE,IDLE - Consider Deployment,1500,2025-05-29 05:13:25
SFB-10,Truck Mounted Attenuator (TMA),HOU YARD/SHOP,5,IDLE,IDLE - Consider Deployment,1500,2025-05-29 05:13:25
SS-26,Skid Steer,"411 - 401 Fleming Pl, Dallas, TX 75203",25,LOW,LOW USE - Available for Reallocation,1500,2025-05-29 05:13:25
