Equipment_Number,Job_Number,Units,Unit_Rate,Amount,Cost_Code
PT-160,2022-040,0.06,1500.0,90.0,9000 100M
PT-227,2022-040,0.25,1500.0,375.0,9000 100M
SFB-04,2022-040,0.25,3650.0,912.5,9000 100M
BH-15,2023-035,0.5,2500.0,1250.0,9000 100F
ET-03,2023-035,0.18,1300.0,234.0,9000 100F
ET-20,2023-035,0.1,1300.0,130.0,9000 100F
ET-34,2023-035,1.0,2000.0,2000.0,9000 100F
ET-36,2023-035,0.1,2000.0,200.0,9000 100F
LP-115,2023-035,1.0,800.0,800.0,9000 100F
PT-108,2023-035,0.28,1300.0,364.0000000000001,9000 100F
PT-160,2023-035,0.46,1500.0,690.0,9000 100F
PT-190,2023-035,0.31,1500.0,465.0,9000 100F
PT-201,2023-035,0.05,1500.0,75.0,9000 100F
PT-229,2023-035,0.28,1500.0,420.0000000000001,9000 100F
PT-235,2023-035,0.36,1300.0,468.0,9000 100F
PT-246,2023-035,0.77,1300.0,1001.0,9000 100F
PT-92,2023-035,0.05,1300.0,65.0,9000 100F
SFB-11,2023-035,1.0,3650.0,3650.0,9000 100F
TH-02,2023-035,0.5,4000.0,2000.0,9000 100F
TH-11,2023-035,0.5,2000.0,1000.0,9000 100F
14T-45,2023-036,0.08,200.0,16.0,9000 100F
ET-36,2023-036,0.26,2000.0,520.0,9000 100F
ME-42,2023-036,0.5,1250.0,625.0,9000 100F
PT-108,2023-036,0.05,1300.0,65.0,9000 100F
PT-190,2023-036,0.05,1500.0,75.0,9000 100F
ET-10,2024-017,0.64,1300.0,832.0,9000 100F
ET-20,2024-017,0.1,1300.0,130.0,9000 100F
ET-32,2024-017,1.0,2000.0,2000.0,9000 100F
EX-51,2024-017,1.0,3000.0,3000.0,9000 100F
EX-68,2024-017,0.05,10000.0,500.0,9000 100F
PT-108,2024-017,0.34,1300.0,442.0000000000001,9000 100F
PT-160,2024-017,0.12,1500.0,180.0,9000 100F
PT-190,2024-017,0.35,1500.0,525.0,9000 100F
PT-201,2024-017,0.05,1500.0,75.0,9000 100F
PT-229,2024-017,0.19,1500.0,285.0,9000 100F
PT-235,2024-017,0.32,1300.0,416.0,9000 100F
SFB-09,2024-017,0.34,3650.0,1241.0,9000 100F
SFB-10,2024-017,1.0,3650.0,3650.0,9000 100F
SS-41,2024-017,0.5,2100.0,1050.0,9000 100F
14T-45,2024-025,0.92,200.0,184.0,9000 100F
BRO-06,2024-025,0.5,1200.0,600.0,9000 100F
D-17,2024-025,0.1,5500.0,550.0,9000 100F
ET-16,2024-025,0.5,1300.0,650.0,9000 100F
ET-20,2024-025,0.1,1300.0,130.0,9000 100F
ET-36,2024-025,0.23,2000.0,460.0,9000 100F
LP-117,2024-025,1.0,800.0,800.0,9000 100F
PT-239,2024-025,1.0,1300.0,1300.0,9000 100F
PT-280,2024-025,0.41,1500.0,615.0,9000 100F
R-13,2024-025,1.0,3000.0,3000.0,9000 100F
WT-11,2024-025,0.25,3000.0,750.0,9000 100F
ET-03,2024-028,0.82,1300.0,1066.0,9000 100F
ET-36,2024-028,0.41,2000.0,820.0,9000 100F
PT-108,2024-028,0.16,1300.0,208.0,9000 100F
PT-160,2024-028,0.06,1500.0,90.0,9000 100F
PT-190,2024-028,0.16,1500.0,240.0,9000 100F
PT-229,2024-028,0.09,1500.0,135.0,9000 100F
PT-235,2024-028,0.09,1300.0,117.0,9000 100F
PT-246,2024-028,0.23,1300.0,299.0,9000 100F
BRO-09,2024-030,1.0,1200.0,1200.0,9000 100F
CC-03,2024-030,1.0,8800.0,8800.0,9000 100F
D-16,2024-030,1.0,5500.0,5500.0,9000 100F
DT-11,2024-030,0.05,5000.0,250.0,9000 100F
ET-10,2024-030,0.36,1300.0,468.0,9000 100F
ET-16,2024-030,0.5,1300.0,650.0,9000 100F
EX-30,2024-030,0.65,5000.0,3250.0,9000 100F
EX-55,2024-030,1.0,5000.0,5000.0,9000 100F
EX-59,2024-030,1.0,5000.0,5000.0,9000 100F
EX-65,2024-030,1.0,7500.0,7500.0,9000 100F
MT-15,2024-030,0.1,1500.0,150.0,9000 100F / CC NEEDED
MT-15,2024-030,0.2,1500.0,300.0,9000 100F
PT-108,2024-030,0.13,1300.0,169.0,9000 100F
PT-160,2024-030,0.12,1500.0,180.0,9000 100F
PT-190,2024-030,0.08,1500.0,120.0,9000 100F
PT-229,2024-030,0.22,1500.0,330.0,9000 100F
PT-235,2024-030,0.23,1300.0,299.0,9000 100F
PT-236,2024-030,1.0,1500.0,1500.0,9000 100F
PT-237,2024-030,0.05,1500.0,75.0,9000 100F
PT-269,2024-030,0.09,2500.0,225.0,9000 100F
PT-276,2024-030,0.2,1000.0,200.0,9000 100F
PT-277,2024-030,0.25,1000.0,250.0,9000 100F
PT-278,2024-030,0.18,1000.0,180.0,9000 100F
PT-280,2024-030,0.59,1500.0,885.0,9000 100F
SFB-07,2024-030,1.0,3650.0,3650.0,9000 100F
SS-44,2024-030,1.0,2100.0,2100.0,9000 100F
WL-10,2024-030,1.0,4000.0,4000.0,9000 100F
WT-07,2024-030,1.0,4000.0,4000.0,9000 100F
