Equipment_Number,Date,Job,Cost_Code,Hours,Rate,Amount
ET-01,2025-04-30,2019-044,9000 100M,0.12,1300.0,156.0
ET-27,2025-04-30,2019-044,9000 100M,0.11,2000.0,220.0
ML-05,2025-04-30,2019-044,9000 100M,0.25,3500.0,875.0
PT-159,2025-04-30,2019-044,9000 100M,0.1,1500.0,150.0
PT-237,2025-04-30,2019-044,9000 100M,0.05,1500.0,75.0
PT-281,2025-04-30,2019-044,9000 100M,0.2,1500.0,300.0
CM-01,2025-04-30,2021-017,9000 100M,0.6,2500.0,1500.0
CM-02,2025-04-30,2021-017,9000 100M,0.64,2500.0,1600.0
CM-04,2025-04-30,2021-017,9000 100M,0.65,2500.0,1625.0
ET-42,2025-04-30,2021-017,9000 100M,1.0,1300.0,1300.0
EX-21,2025-04-30,2021-017,9000 100M,0.05,5000.0,250.0
EX-53,2025-04-30,2021-017,9000 100M,1.0,3000.0,3000.0
MT-15,2025-04-30,2021-017,9000 100M,0.1,1500.0,150.0
PT-125,2025-04-30,2021-017,9000 100M,1.0,1300.0,1300.0
PT-218,2025-04-30,2021-017,9000 100M,0.3,1500.0,450.0
PT-268,2025-04-30,2021-017,9000 100M,0.1,1000.0,100.0
RTC-03,2025-04-30,2021-017,9000 100M,0.35,6000.0,2100.0
SS-32,2025-04-30,2021-017,9000 100M,1.0,2100.0,2100.0
WT-05,2025-04-30,2021-017,9000 100M,1.0,3000.0,3000.0
DT-07,2025-04-30,2022-003,9000 100M,1.0,1700.0,1700.0
BH-23,2025-04-30,2022-008,9000 100M,1.0,2500.0,2500.0
D-12,2025-04-30,2022-008,9000 100M,1.0,5500.0,5500.0
ET-23,2025-04-30,2022-008,9000 100M,0.71,2000.0,1420.0
EX-34,2025-04-30,2022-008,9000 100M,0.45,5000.0,2250.0
MT-14,2025-04-30,2022-008,9000 100M,0.05,1500.0,75.0
PT-160,2025-04-30,2022-008,9000 100M,0.18,1500.0,270.0
PT-213,2025-04-30,2022-008,9000 100M,0.07,1500.0,105.00000000000001
PT-224,2025-04-30,2022-008,9000 100M,0.05,1300.0,65.0
PT-226,2025-04-30,2022-008,9000 100M,0.46,1500.0,690.0
PT-227,2025-04-30,2022-008,9000 100M,0.25,1500.0,375.0
PT-229,2025-04-30,2022-008,9000 100M,0.22,1500.0,330.0
PT-247,2025-04-30,2022-008,9000 100M,0.23,1300.0,299.0
PT-252,2025-04-30,2022-008,9000 100M,0.91,1500.0,1365.0
PT-279,2025-04-30,2022-008,9000 100M,0.3,1500.0,450.0
R-20,2025-04-30,2022-008,9000 100M,0.05,2000.0,100.0
R-26,2025-04-30,2022-008,9000 100M,0.11,1500.0,165.0
SS-23,2025-04-30,2022-008,9000 100M,0.75,2100.0,1575.0
WT-10,2025-04-30,2022-008,9000 100M,1.0,3000.0,3000.0
