Equipment_Number,Date,Job,Cost_Code,Hours,Rate,Amount
PT-160,2025-04-30,2022-040,9000 100M,0.06,1500.0,90.0
PT-227,2025-04-30,2022-040,9000 100M,0.25,1500.0,375.0
SFB-04,2025-04-30,2022-040,9000 100M,0.25,3650.0,912.5
BH-15,2025-04-30,2023-035,9000 100F,0.5,2500.0,1250.0
ET-03,2025-04-30,2023-035,9000 100F,0.18,1300.0,234.0
ET-20,2025-04-30,2023-035,9000 100F,0.1,1300.0,130.0
ET-34,2025-04-30,2023-035,9000 100F,1.0,2000.0,2000.0
ET-36,2025-04-30,2023-035,9000 100F,0.1,2000.0,200.0
LP-115,2025-04-30,2023-035,9000 100F,1.0,800.0,800.0
PT-108,2025-04-30,2023-035,9000 100F,0.28,1300.0,364.00000000000006
PT-160,2025-04-30,2023-035,9000 100F,0.46,1500.0,690.0
PT-190,2025-04-30,2023-035,9000 100F,0.31,1500.0,465.0
PT-201,2025-04-30,2023-035,9000 100F,0.05,1500.0,75.0
PT-229,2025-04-30,2023-035,9000 100F,0.28,1500.0,420.00000000000006
PT-235,2025-04-30,2023-035,9000 100F,0.36,1300.0,468.0
PT-246,2025-04-30,2023-035,9000 100F,0.77,1300.0,1001.0
PT-92,2025-04-30,2023-035,9000 100F,0.05,1300.0,65.0
SFB-11,2025-04-30,2023-035,9000 100F,1.0,3650.0,3650.0
TH-02,2025-04-30,2023-035,9000 100F,0.5,4000.0,2000.0
TH-11,2025-04-30,2023-035,9000 100F,0.5,2000.0,1000.0
14T-45,2025-04-30,2023-036,9000 100F,0.08,200.0,16.0
ET-36,2025-04-30,2023-036,9000 100F,0.26,2000.0,520.0
ME-42,2025-04-30,2023-036,9000 100F,0.5,1250.0,625.0
PT-108,2025-04-30,2023-036,9000 100F,0.05,1300.0,65.0
PT-190,2025-04-30,2023-036,9000 100F,0.05,1500.0,75.0
ET-10,2025-04-30,2024-017,9000 100F,0.64,1300.0,832.0
ET-20,2025-04-30,2024-017,9000 100F,0.1,1300.0,130.0
ET-32,2025-04-30,2024-017,9000 100F,1.0,2000.0,2000.0
EX-51,2025-04-30,2024-017,9000 100F,1.0,3000.0,3000.0
EX-68,2025-04-30,2024-017,9000 100F,0.05,10000.0,500.0
PT-108,2025-04-30,2024-017,9000 100F,0.34,1300.0,442.00000000000006
PT-160,2025-04-30,2024-017,9000 100F,0.12,1500.0,180.0
PT-190,2025-04-30,2024-017,9000 100F,0.35,1500.0,525.0
PT-201,2025-04-30,2024-017,9000 100F,0.05,1500.0,75.0
PT-229,2025-04-30,2024-017,9000 100F,0.19,1500.0,285.0
PT-235,2025-04-30,2024-017,9000 100F,0.32,1300.0,416.0
SFB-09,2025-04-30,2024-017,9000 100F,0.34,3650.0,1241.0
SFB-10,2025-04-30,2024-017,9000 100F,1.0,3650.0,3650.0
SS-41,2025-04-30,2024-017,9000 100F,0.5,2100.0,1050.0
14T-45,2025-04-30,2024-025,9000 100F,0.92,200.0,184.0
BRO-06,2025-04-30,2024-025,9000 100F,0.5,1200.0,600.0
D-17,2025-04-30,2024-025,9000 100F,0.1,5500.0,550.0
ET-16,2025-04-30,2024-025,9000 100F,0.5,1300.0,650.0
ET-20,2025-04-30,2024-025,9000 100F,0.1,1300.0,130.0
ET-36,2025-04-30,2024-025,9000 100F,0.23,2000.0,460.0
LP-117,2025-04-30,2024-025,9000 100F,1.0,800.0,800.0
PT-239,2025-04-30,2024-025,9000 100F,1.0,1300.0,1300.0
PT-280,2025-04-30,2024-025,9000 100F,0.41,1500.0,615.0
R-13,2025-04-30,2024-025,9000 100F,1.0,3000.0,3000.0
WT-11,2025-04-30,2024-025,9000 100F,0.25,3000.0,750.0
ET-03,2025-04-30,2024-028,9000 100F,0.82,1300.0,1066.0
ET-36,2025-04-30,2024-028,9000 100F,0.41,2000.0,820.0
PT-108,2025-04-30,2024-028,9000 100F,0.16,1300.0,208.0
PT-160,2025-04-30,2024-028,9000 100F,0.06,1500.0,90.0
PT-190,2025-04-30,2024-028,9000 100F,0.16,1500.0,240.0
PT-229,2025-04-30,2024-028,9000 100F,0.09,1500.0,135.0
PT-235,2025-04-30,2024-028,9000 100F,0.09,1300.0,117.0
PT-246,2025-04-30,2024-028,9000 100F,0.23,1300.0,299.0
BRO-09,2025-04-30,2024-030,9000 100F,1.0,1200.0,1200.0
CC-03,2025-04-30,2024-030,9000 100F,1.0,8800.0,8800.0
D-16,2025-04-30,2024-030,9000 100F,1.0,5500.0,5500.0
DT-11,2025-04-30,2024-030,9000 100F,0.05,5000.0,250.0
ET-10,2025-04-30,2024-030,9000 100F,0.36,1300.0,468.0
ET-16,2025-04-30,2024-030,9000 100F,0.5,1300.0,650.0
EX-30,2025-04-30,2024-030,9000 100F,0.65,5000.0,3250.0
EX-55,2025-04-30,2024-030,9000 100F,1.0,5000.0,5000.0
EX-59,2025-04-30,2024-030,9000 100F,1.0,5000.0,5000.0
