Division,Equip #,Equipment Description,Date,Job,Phase,Cost Code,Cost Class,Units,Frequency,Rate,Amount,*,NOTE,*2,ASSET SUM OF UNITS
HOU,PT-160,2019 Ford G54586,2025-04-30,2022-040,1.0,9000 100M,4.0,0.06,MONTHLY,1500.0,90.0,,,,
HOU,PT-227,2022 F-250 G40597,2025-04-30,2022-040,1.0,9000 100M,4.0,0.25,MONTHLY,1500.0,375.0,,,,
HOU,SFB-04,2007 Freightliner M2,2025-04-30,2022-040,1.0,9000 100M,4.0,0.25,MONTHLY,3650.0,912.5,,,,0.25
HOU,BH-15,CAT 420F,2025-04-30,2023-035,1.0,9000 100F / CC NEEDED,4.0,0.5,MONTHLY,2500.0,1250.0,,DOWNED AT ALL?,,0.5
HOU,ET-03,2022 DODGE RAM 1500,2025-04-30,2023-035,1.0,9000 100F / CC NEEDED,4.0,0.18,MONTHLY,1300.0,234.0,,,,1.0
HOU,ET-20,2022 DODGE RAM 1500,2025-04-30,2023-035,1.0,9000 100F / CC NEEDED,4.0,0.1,MONTHLY,1300.0,130.0,,,,0.30000000000000004
HOU,ET-34,2023 FORD F-250 XL,2025-04-30,2023-035,1.0,9000 100F / CC NEEDED,4.0,1.0,MONTHLY,2000.0,2000.0,,,,1.0
HOU,ET-36,2023 FORD F-250 XL,2025-04-30,2023-035,1.0,9000 100F / CC NEEDED,4.0,0.1,MONTHLY,2000.0,200.0,,,,1.0
HOU,LP-115,WANCO LIGHT TOWER 4-7KW VERT,2025-04-30,2023-035,1.0,9000 100F / CC NEEDED,4.0,1.0,MONTHLY,800.0,800.0,,,,1.0
HOU,PT-108,2018 F-150 D31569,2025-04-30,2023-035,1.0,9000 100F / CC NEEDED,4.0,0.28,MONTHLY,1300.0,364.00000000000006,,,,1.0
HOU,PT-160,2019 Ford G54586,2025-04-30,2023-035,1.0,9000 100F / CC NEEDED,4.0,0.46,MONTHLY,1500.0,690.0,,,,
HOU,PT-190,2021 F-250 D07383,2025-04-30,2023-035,1.0,9000 100F / CC NEEDED,4.0,0.31,MONTHLY,1500.0,465.0,,,,1.0
HOU,PT-201,2022 F-250 C70268,2025-04-30,2023-035,1.0,9000 100F / CC NEEDED,4.0,0.05,MONTHLY,1500.0,75.0,,,,0.1
HOU,PT-229,2022 F-250 G40594,2025-04-30,2023-035,1.0,9000 100F / CC NEEDED,4.0,0.28,MONTHLY,1500.0,420.00000000000006,,,,
