Division,Equip #,Equipment Description,Date,Job,Phase,Cost Code,Cost Class,Units,Frequency,Rate,Amount,*,NOTE,*2,ASSET SUM OF UNITS
WT,14T-39,2024 102X22 BP HD,2025-04-30,2023-007,1.0,9000 100F / CC NEEDED,4.0,1.0,MONTHLY,200.0,200.0,,,,1.0
WT,BH-24,2012 CAT 420E IT,2025-04-30,2023-007,1.0,9000 100F / CC NEEDED,4.0,0.2,MONTHLY,2500.0,500.0,,DOWNED AT ALL?,,0.2
WT,BRO-02,Broce RJ350 Broom,2025-04-30,2023-007,1.0,9000 100F / CC NEEDED,4.0,1.0,MONTHLY,1200.0,1200.0,,,,1.0
WT,DD-01,DYNAPAC CC5200 ROLLER,2025-04-30,2023-007,1.0,9000 100F / CC NEEDED,4.0,0.5,MONTHLY,4000.0,2000.0,,"WTX AGREEMENT, CHARGE 1/2 ",,0.5
WT,DD-02,2018 DYNAPAC CC6200,2025-04-30,2023-007,1.0,9000 100F / CC NEEDED,4.0,0.5,MONTHLY,4000.0,2000.0,,"WTX AGREEMENT, CHARGE 1/2 ",,0.5
WT,DD-03,DYNAPAC CC1400VI TANDEM ROLLER,2025-04-30,2023-007,1.0,9000 100F / CC NEEDED,4.0,0.5,MONTHLY,2500.0,1250.0,,"WTX AGREEMENT, CHARGE 1/2 ",,0.5
WT,DST-01,2018 2K DISTRIBUTOR TK (J6213),2025-04-30,2023-007,1.0,9000 100F / CC NEEDED,4.0,0.5,MONTHLY,2500.0,1250.0,,"WTX AGREEMENT, CHARGE 1/2 ",,0.5
WT,ET-06,2022 DODGE RAM 1500,2025-04-30,2023-007,1.0,9000 100M,4.0,1.0,MONTHLY,1300.0,1300.0,,,,1.0
WT,ET-09,2022 DODGE RAM 1500,2025-04-30,2023-007,1.0,9000 100M,4.0,0.4,MONTHLY,1300.0,520.0,,,,
WT,ET-19,2022 DODGE RAM 1500,2025-04-30,2023-007,1.0,9000 100M,4.0,0.45,MONTHLY,1300.0,585.0,,,,
WT,ET-26,2023 FORD F-250 XL,2025-04-30,2023-007,1.0,9000 100M,4.0,0.25,MONTHLY,2000.0,500.0,,,,1.0
WT,ET-28,2023 FORD F-250 XL,2025-04-30,2023-007,1.0,9000 100M,4.0,1.0,MONTHLY,2000.0,2000.0,,,,1.0
WT,ET-37,2023 FORD F-250 XL,2025-04-30,2023-007,1.0,9000 100M,4.0,0.82,MONTHLY,2000.0,1640.0,,,,1.0
WT,EX-54,2015 CAT 329FL,2025-04-30,2023-007,1.0,9000 100F / CC NEEDED,4.0,0.75,MONTHLY,5000.0,3750.0,,,,0.75
WT,G-04,CAT 140M3 (2014),2025-04-30,2023-007,1.0,9000 100F / CC NEEDED,4.0,1.0,MONTHLY,4500.0,4500.0,,,,1.0
WT,ME-45,VER-MAC PCMS-1500LP (H223790),2025-04-30,2023-007,1.0,9000 100F / CC NEEDED,4.0,1.0,MONTHLY,1250.0,1250.0,,,,1.0
