Vehicle ID,Asset Label,Driver,Date,Department,Assigned Job,Last Location,Region
,,Unknown,,Construction,5/1/2025 4:35:19 AM,"""2208 - 2208 Sunflower Dr,  Mansfield,  TX 76063""",Dallas
,,Unknown,,Construction,5/1/2025 5:05:06 AM,"""TEXDIST,  1501 - 1547 Two Thousand Oak Apartments,  North Richland Hills,  TX 76180""",Dallas
,,Unknown,,Construction,5/1/2025 1:05:41 PM,"""TEXDIST,   Airport Fwy,  North Richland Hills,  TX 76180""",Dallas
,,Unknown,,Construction,5/1/2025 1:14:35 PM,"""TEXDIST,   Airport Fwy,  Hurst,  TX 76054""",Dallas
,,Unknown,,Construction,5/1/2025 1:16:05 PM,"""TEXDIST,  1501 - 1547 Two Thousand Oak Apartments,  North Richland Hills,  TX 76180""",Dallas
,,Unknown,,Construction,5/1/2025 4:39:55 PM,"""TEXDIST,  962 - 998 Airport Fwy,  Hurst,  TX 76054""",Dallas
,,Unknown,,Construction,5/1/2025 4:42:49 PM,"""TEXDIST,   W Bedford Euless Rd,  Hurst,  TX 76180""",Dallas
,,Unknown,,Construction,5/1/2025 5:37:32 PM,""" Sam St,  Mansfield,  TX 76063""",Dallas
,,Unknown,,Construction,5/1/2025 6:26:02 PM,"""3475 - 3505 Curry Rd,  Arlington,  TX 76001""",Dallas
,,Unknown,,Construction,5/1/2025 7:58:54 PM,""" Sam St,  Mansfield,  TX 76063""",Dallas
,,Unknown,,Construction,5/1/2025 8:10:12 PM,""" Cannon Dr,  Mansfield,  TX 76063""",Dallas
,,Unknown,,Construction,5/1/2025 8:21:54 PM,""" E Broad St,  Mansfield,  TX 76063""",Dallas
,,Unknown,,Construction,5/2/2025 3:09:52 AM,""" Sam St,  Mansfield,  TX 76063""",Dallas
,,Unknown,,Construction,5/2/2025 3:44:11 AM,"""TEXDIST,  1501 - 1547 Two Thousand Oak Apartments,  North Richland Hills,  TX 76180""",Dallas
,,Unknown,,Construction,5/2/2025 1:40:27 PM,"""TEXDIST,  1506 - 1556 Weyland Dr,  North Richland Hills,  TX 76180""",Dallas
,,Unknown,,Construction,5/2/2025 2:15:00 PM,"""4007 - 4007 Brown Trl,  Colleyville,  TX 76034""",Dallas
,,Unknown,,Construction,5/2/2025 2:26:44 PM,"""TEXDIST,  1501 - 1547 Two Thousand Oak Apartments,  North Richland Hills,  TX 76180""",Dallas
,,Unknown,,Construction,5/2/2025 3:38:26 PM,"""TEXDIST,  962 - 998 Airport Fwy,  Hurst,  TX 76054""",Dallas
,,Unknown,,Construction,5/2/2025 3:40:24 PM,"""TEXDIST,   W Bedford Euless Rd,  Hurst,  TX 76180""",Dallas
,,Unknown,,Construction,5/2/2025 4:38:15 PM,"""733 - 899 Woodland Ct,  Kennedale,  TX 76060""",Dallas
,,Unknown,,Construction,5/2/2025 5:34:15 PM,""" Highway 287 S,  Mansfield,  TX 76063""",Dallas
,,Unknown,,Construction,5/2/2025 7:31:17 PM,""" W Park Row Dr,  Pantego,  TX 76013""",Dallas
,,Unknown,,Construction,5/3/2025 7:38:23 AM,""" Sam St,  Mansfield,  TX 76063""",Dallas
,,Unknown,,Construction,5/3/2025 8:24:31 AM,"""2884 - 2882 Matlock Rd,  Mansfield,  TX 76063""",Dallas
,,Unknown,,Construction,5/3/2025 9:04:15 AM,"""1052 - 1052 Country Club Dr,  Mansfield,  TX 76063""",Dallas
,,Unknown,,Construction,5/3/2025 10:34:23 AM,"""1652 - 1774 Matlock Rd,  Mansfield,  TX 76063""",Dallas
,,Unknown,,Construction,5/3/2025 2:57:06 PM,""" Sam St,  Mansfield,  TX 76063""",Dallas
,,Unknown,,Construction,5/3/2025 4:31:06 PM,"""5505 - 5599 Mansfield Rd,  Arlington,  TX 76017""",Dallas
,,Unknown,,Construction,5/3/2025 5:37:52 PM,""" Sam St,  Mansfield,  TX 76063""",Dallas
,,Unknown,,Construction,5/3/2025 7:51:11 PM,"""2699 - 2601 La Jolla Blvd,  Grand Prairie,  TX 75054""",Dallas
,,Unknown,,Construction,5/4/2025 8:24:07 AM,""" Sam St,  Mansfield,  TX 76063""",Dallas
,,Unknown,,Construction,5/4/2025 8:33:49 AM,"""2994 - 2982 E Broad St,  Mansfield,  TX 76063""",Dallas
,,Unknown,,Construction,5/4/2025 9:55:54 AM,"""2208 - 2208 Sunflower Dr,  Mansfield,  TX 76063""",Dallas
,,Unknown,,Construction,5/4/2025 1:06:23 PM,"""2208 - 2208 Sunflower Dr,  Mansfield,  TX 76063""",Dallas
,,Unknown,,Construction,5/4/2025 2:23:12 PM,""" Highlander Blvd,  Arlington,  TX 76014""",Dallas
,,Unknown,,Construction,5/4/2025 4:13:24 PM,"""2208 - 2208 Sunflower Dr,  Mansfield,  TX 76063""",Dallas
,,Unknown,,Construction,5/4/2025 7:28:30 PM,"""3810 - 3898 Park Manor Ct,  Arlington,  TX 76017""",Dallas
,,Unknown,,Construction,5/4/2025 8:31:53 PM,""" Sam St,  Mansfield,  TX 76063""",Dallas
,,Unknown,,Construction,5/4/2025 8:46:22 PM,"""39 - 98 Highway 287 S,  Mansfield,  TX 76063""",Dallas
,,Unknown,,Construction,5/5/2025 6:24:50 AM,""" Sam St,  Mansfield,  TX 76063""",Dallas
,,Unknown,,Construction,5/5/2025 6:56:47 AM,"""TEXDIST,  1501 - 1547 Two Thousand Oak Apartments,  North Richland Hills,  TX 76180""",Dallas
,,Unknown,,Construction,5/5/2025 6:57:55 AM,"""TEXDIST,  1501 - 1547 Two Thousand Oak Apartments,  North Richland Hills,  TX 76180""",Dallas
,,Unknown,,Construction,5/5/2025 5:02:01 PM,"""TEXDIST,   Airport Fwy,  North Richland Hills,  TX 76180""",Dallas
,,Unknown,,Construction,5/5/2025 5:04:02 PM,""" TX-121 S,  Hurst,  TX 76180""",Dallas
,,Unknown,,Construction,5/5/2025 7:15:55 PM,"""2208 - 2208 Sunflower Dr,  Mansfield,  TX 76063""",Dallas
,,Unknown,,Construction,5/5/2025 8:01:41 PM,"""1846 - 1846 Cannon Dr,  Mansfield,  TX 76063""",Dallas
,,Unknown,,Construction,5/5/2025 8:32:49 PM,"""370 - 218 N Mitchell Rd,  Mansfield,  TX 76063""",Dallas
,,Unknown,,Construction,5/6/2025 6:42:45 AM,"""854 - 700 S Mitchell Rd,  Mansfield,  TX 76063""",Dallas
,,Unknown,,Construction,5/6/2025 7:18:43 AM,"""TEXDIST,  1501 - 1547 Two Thousand Oak Apartments,  North Richland Hills,  TX 76180""",Dallas
,,Unknown,,Construction,5/6/2025 12:09:59 PM,"""TEXDIST,  1506 - 1556 Weyland Dr,  North Richland Hills,  TX 76180""",Dallas
,,Unknown,,Construction,5/6/2025 1:04:44 PM,""" Grapevine Hwy,  Hurst,  TX 76054""",Dallas
,,Unknown,,Construction,5/6/2025 1:13:57 PM,"""TEXDIST,  1501 - 1547 Two Thousand Oak Apartments,  North Richland Hills,  TX 76180""",Dallas
,,Unknown,,Construction,5/6/2025 5:13:48 PM,"""TEXDIST,   Airport Fwy,  North Richland Hills,  TX 76180""",Dallas
,,Unknown,,Construction,5/6/2025 7:23:19 PM,""" Sam St,  Mansfield,  TX 76063""",Dallas
,,Unknown,,Construction,5/6/2025 8:09:30 PM,""" Long Trl,  Mansfield,  TX 76063""",Dallas
,,Unknown,,Construction,5/7/2025 5:37:12 AM,""" Sam St,  Mansfield,  TX 76063""",Dallas
,,Unknown,,Construction,5/7/2025 6:25:56 AM,"""2024-023 TARRANT RIVERSIDE BRIDGE REHAB,   Riverside Dr,  Fort Worth,  TX 76111""",Dallas
,,Unknown,,Construction,5/7/2025 7:39:54 AM,"""2024-023 TARRANT RIVERSIDE BRIDGE REHAB,  403 - 411 Riverside Dr,  Fort Worth,  TX 76111""",Dallas
,,Unknown,,Construction,5/7/2025 7:58:32 AM,"""TEXDIST,  1501 - 1547 Two Thousand Oak Apartments,  North Richland Hills,  TX 76180""",Dallas
,,Unknown,,Construction,5/7/2025 12:22:20 PM,"""TEXDIST,   Airport Fwy,  North Richland Hills,  TX 76180""",Dallas
,,Unknown,,Construction,5/7/2025 1:10:40 PM,"""1814 - 1802 Precinct Line Rd,  Hurst,  TX 76054""",Dallas
,,Unknown,,Construction,5/7/2025 1:15:57 PM,"""TEXDIST,  1501 - 1547 Two Thousand Oak Apartments,  North Richland Hills,  TX 76180""",Dallas
,,Unknown,,Construction,5/7/2025 4:38:28 PM,"""TEXDIST,   Airport Fwy,  North Richland Hills,  TX 76180""",Dallas
,,Unknown,,Construction,5/7/2025 6:05:41 PM,"""1580 - 1598 Highway 157 N,  Mansfield,  TX 76063""",Dallas
,,Unknown,,Construction,5/8/2025 6:29:32 AM,""" Sam St,  Mansfield,  TX 76063""",Dallas
,,Unknown,,Construction,5/8/2025 7:05:38 AM,"""TEXDIST,  1501 - 1547 Two Thousand Oak Apartments,  North Richland Hills,  TX 76180""",Dallas
,,Unknown,,Construction,5/8/2025 4:39:24 PM,"""TEXDIST,  8945 - 8977 Airport Fwy,  North Richland Hills,  TX 76180""",Dallas
,,Unknown,,Construction,5/8/2025 5:43:26 PM,""" Sam St,  Mansfield,  TX 76063""",Dallas
,,Unknown,,Construction,5/8/2025 6:53:52 PM,"""3507 - 3633 Curry Rd,  Arlington,  TX 76001""",Dallas
,,Unknown,,Construction,5/9/2025 5:55:35 AM,""" Sam St,  Mansfield,  TX 76063""",Dallas
,,Unknown,,Construction,5/9/2025 6:26:04 AM,"""TEXDIST,  1501 - 1547 Two Thousand Oak Apartments,  North Richland Hills,  TX 76180""",Dallas
,,Unknown,,Construction,5/9/2025 7:12:13 AM,"""TEXDIST,   Airport Fwy,  North Richland Hills,  TX 76180""",Dallas
,,Unknown,,Construction,5/9/2025 1:20:20 PM,""" W Northwest Hwy,  Dallas,  TX 75220""",Dallas
,,Unknown,,Construction,5/9/2025 1:53:11 PM,"""TEXDIST,  1501 - 1547 Two Thousand Oak Apartments,  North Richland Hills,  TX 76180""",Dallas
,,Unknown,,Construction,5/9/2025 1:54:59 PM,"""TEXDIST,  1501 - 1547 Two Thousand Oak Apartments,  North Richland Hills,  TX 76180""",Dallas
