Endpoint                                    Methods  Rule                                                             
------------------------------------------  -------  -----------------------------------------------------------------
comprehensive_reports.daily_report          GET      /daily-report/<date>                                             
comprehensive_reports.drill_down_api        GET      /api/drill-down/<report_type>                                    
comprehensive_reports.monthly_report        GET      /monthly-report                                                  
comprehensive_reports.reports_dashboard     GET      /reports-dashboard                                               
comprehensive_reports.weekly_report         GET      /weekly-report                                                   
comprehensive_reports.weekly_report_detail  GET      /weekly-report/<week>                                            
data_upload.fill_gaps                       GET      /fill-gaps                                                       
data_upload.get_file_info                   GET      /api/file-info/<filename>                                        
data_upload.process_uploaded_data           GET      /process-data                                                    
data_upload.upload_files                    POST     /upload-files                                                    
data_upload.upload_manager                  GET      /upload-manager                                                  
enhanced_weekly_report_bp.api_day_data      GET      /enhanced-weekly-report/api/day/<date>                           
enhanced_weekly_report_bp.api_weekly_data   GET      /enhanced-weekly-report/api/weekly/<start_date>/<end_date>       
enhanced_weekly_report_bp.compare_methods   GET      /enhanced-weekly-report/compare_processing_methods               
enhanced_weekly_report_bp.compare_methods   GET      /enhanced-weekly-report/compare-methods                          
enhanced_weekly_report_bp.dashboard         GET      /enhanced-weekly-report/                                         
enhanced_weekly_report_bp.demo_may_week     GET      /enhanced-weekly-report/demo-may-week                            
enhanced_weekly_report_bp.download_report   GET      /enhanced-weekly-report/download/<start_date>/<end_date>/<format>
enhanced_weekly_report_bp.generate_report   GET      /enhanced-weekly-report/generate-report                          
enhanced_weekly_report_bp.process_may_data  GET      /enhanced-weekly-report/process-may-data                         
enhanced_weekly_report_bp.upload            GET      /enhanced-weekly-report/upload                                   
enhanced_weekly_report_bp.upload_files      POST     /enhanced-weekly-report/upload/files                             
enhanced_weekly_report_bp.view_report       GET      /enhanced-weekly-report/view/<start_date>/<end_date>             
health                                      GET      /health                                                          
index                                       GET      /                                                                
job_module.active_jobs                      GET      /jobs/active                                                     
job_module.job_assignments                  GET      /jobs/assignments                                                
job_module.job_dashboard                    GET      /jobs                                                            
job_module.job_performance                  GET      /jobs/performance                                                
kaizen.efficiency_analysis                  GET      /kaizen/efficiency-analysis                                      
kaizen.improvement_tracking                 GET      /kaizen/improvement-tracking                                     
kaizen.kaizen_dashboard                     GET      /kaizen                                                          
may_processor.process_may_files             POST     /process-may-files                                               
may_processor.upload_may_week_data          GET      /upload-may-week-data                                            
may_processor.view_may_reports              GET      /view-may-reports                                                
report_browser.api_get_reports              GET      /reports/api/reports/<report_type>                               
report_browser.download_report              GET      /reports/download/<report_type>/<path:filename>                  
report_browser.index                        GET      /reports/                                                        
report_browser.view_daily_driver_report     GET      /reports/daily-driver/<date>                                     
static                                      GET      /static/<path:filename>                                          
system_admin.system_admin_dashboard         GET      /system-admin                                                    
system_admin.system_configuration           GET      /system-admin/configuration                                      
system_admin.user_management                GET      /system-admin/users                                              
system_health.get_system_metrics            GET      /api/system-metrics                                              
system_health.system_health_dashboard       GET      /system-health                                                   
