StartDate,ReportParameters_1,Values_1
04/01/2025,Company:,Ragle - Texas
04/01/2025,Status:,Active

EndDate,ReportParameters_2,Values_2
04/30/2025,Data Source:,Gauge Device
04/30/2025,,Including Assets with No Usage

Month_Hours,AssetLabel_Hours,AssetMonth_Hours,AssetPeriod_Hours,MonthTotal_Hours,PeriodTotal_Hours
Apr,2023-035 (9) HARRIS VA BRIDGE REHABS,5:04,5:04,13628:42,13628:42
Apr,Ragle storage unit,0:16,0:16,13628:42,13628:42
Apr,2023-035 (3) HARRIS VA BRIDGE REHABS,0:40,0:40,13628:42,13628:42
Apr,2024-030 Matagorda SH 35 Bridge Replacement,973:46,973:46,13628:42,13628:42
Apr,2024-025 LIBERTY FM 787 EMC BRIDGE,29:48,29:48,13628:42,13628:42
Apr,2023-035 (2) HARRIS VA BRIDGE REHABS,1:38,1:38,13628:42,13628:42
Apr,2024-004 CoD Sidewalks 2024 (#03),24:02,24:02,13628:42,13628:42
Apr,2024-004 CoD Sidewalks 2024 (#07),9:37,9:37,13628:42,13628:42
Apr,2024-004 CoD Sidewalks 2024 (#21),321:52,321:52,13628:42,13628:42
Apr,"2024-019 (7,8,9) Tarrant VA Bridge Rehab",127:51,127:51,13628:42,13628:42
Apr,2024-019 (11) Tarrant VA Bridge Rehab,0:00,0:00,13628:42,13628:42
Apr,WTX YARD PIT,40:04,40:04,13628:42,13628:42
Apr,2024-004 CoD Sidewalks 2024 (#11),0:02,0:02,13628:42,13628:42
Apr,2024-023 TARRANT RIVERSIDE BRIDGE REHAB,204:53,204:53,13628:42,13628:42
Apr,2024-024 (2) TARRANT CS INTERSECTION IMPROV,39:21,39:21,13628:42,13628:42
Apr,2025-005 (1) Howard IH 20 Bridge Replacement,0:02,0:02,13628:42,13628:42
Apr,2023-014 (2) TARRANT IH 20 US 81 BR,0:52,0:52,13628:42,13628:42
Apr,2023-019 (1) MARTIN SH 176 ROADWAY IMPROVEMENTS,2:02,2:02,13628:42,13628:42
Apr,2024-017 JEFFERSON SH 73 SAFETY IMPROVEMENTS,372:08,372:08,13628:42,13628:42
Apr,2022-040 (1) Hardin US 96 Bridge Maintenance,0:04,0:04,13628:42,13628:42
Apr,22-04 Addison Tunnel,0:01,0:01,13628:42,13628:42
Apr,2024-004 City of Dallas Sidewalk 2024 (YARD),390:14,390:14,13628:42,13628:42
Apr,2023-035 (7) HARRIS VA BRIDGE REHABS,19:20,19:20,13628:42,13628:42
Apr,2024-028 (4) HARRIS VA BEARING PAD REPLACEMENT,0:10,0:10,13628:42,13628:42
Apr,"2021-072 (3, 4, 10, 11) DFW Slope Remediation 2",1:18,1:18,13628:42,13628:42
Apr,2024-027 (1) NTTA FRACTURE CRITICAL BRIDGE REPAIRS,71:25,71:25,13628:42,13628:42
Apr,2024-034 (2) NTTA DNT ML Deck Repair,2:18,2:18,13628:42,13628:42
Apr,2024-019 (22) Tarrant VA Bridge Rehab,0:18,0:18,13628:42,13628:42
Apr,2022-033 CoMckinney Collin Mckinney Pkwy,1:39,1:39,13628:42,13628:42
Apr,TEXDIST,44:29,44:29,13628:42,13628:42
Apr,2024-004 CoD Sidewalks 2024 (#08),1:14,1:14,13628:42,13628:42
Apr,2025-008 NTTA CTP Southbound Mainlanes,12:15,12:15,13628:42,13628:42
Apr,Beaumont RAG Property,176:04,176:04,13628:42,13628:42
Apr,2024-014 SUB SH 73 BARRIER INSTALL,4:17,4:17,13628:42,13628:42
Apr,2023-035 (10) HARRIS VA BRIDGE REHABS,1:18,1:18,13628:42,13628:42
Apr,2024-004 CoD Sidewalks 2024 (#10),0:06,0:06,13628:42,13628:42
Apr,2024-016 (2) ROCKWALL SH 66 COLUMN REPAIR,3:11,3:11,13628:42,13628:42
Apr,2024-016 (1) ROCKWALL SH 66 COLUMN REPAIR,0:06,0:06,13628:42,13628:42
Apr,2023-026 MATAGORDA FM 521 BR,0:19,0:19,13628:42,13628:42
Apr,2024-004 CoD Sidewalks 2024 (#06),200:31,200:31,13628:42,13628:42
Apr,2024-004 CoD Sidewalks 2024 (#05),138:34,138:34,13628:42,13628:42
Apr,WTX YARD (2),168:43,168:43,13628:42,13628:42
Apr,2024-004 CoD Sidewalks 2024 (#02),0:04,0:04,13628:42,13628:42
Apr,2024-004 CoD Sidewalks 2024 (#18),0:05,0:05,13628:42,13628:42
Apr,2023-035 (6) HARRIS VA BRIDGE REHABS,0:18,0:18,13628:42,13628:42
Apr,2024-036 TERMINAL F CIVIL AND UTILITY PACKAGE,0:02,0:02,13628:42,13628:42
Apr,2021-072 (14) DFW Slope Remediation 2,0:00,0:00,13628:42,13628:42
Apr,2021-072 (2) DFW Slope Remediation 2,0:05,0:05,13628:42,13628:42
Apr,2023-004 (1) DFW Airport Landside Storm PH2,8:57,8:57,13628:42,13628:42
Apr,,0:00,0:00,13628:42,13628:42
Apr,2023-035 (4) HARRIS VA BRIDGE REHABS,3:18,3:18,13628:42,13628:42
Apr,EQUIP HOU,422:34,422:34,13628:42,13628:42
Apr,2023-035 (1) HARRIS VA BRIDGE REHABS,1:08,1:08,13628:42,13628:42
Apr,2023-035 (11) FRED HARTMAN BRIDGE,20:16,20:16,13628:42,13628:42
Apr,2023-014 (1) TARRANT IH 20 US 81 BR,129:01,129:01,13628:42,13628:42
Apr,2024-019 (19) Tarrant VA Bridge Rehab,1:11,1:11,13628:42,13628:42
Apr,2024-026 SUB GOLF COAST HARDIN US 96,0:02,0:02,13628:42,13628:42
Apr,2022-023 Riverfront & Cadiz Bridge Improvement,441:51,441:51,13628:42,13628:42
Apr,2023-032 SH 345 BRIDGE REHABILITATION,2364:57,2364:57,13628:42,13628:42
